Complexity			Amount of 1's
       272				119
       271				140
       272				133
       272				129
       272				127
       272				139
       271				142
       271				136
       272				131
       272				155
       269				138
       272				129
       272				139
       272				135
       268				138
       271				138
       271				136
       271				138
       271				132
       272				145
       272				135
       268				138
       271				130
       272				133
       272				139
       270				132
       272				161
       272				131
       272				131
       271				140
       272				125
       272				131
       272				135
       271				136
       272				139
       267				130
       272				125
       272				139
       263				144
       270				144
       272				117
       272				123
       271				136
       272				141
       272				135
       272				139
       269				126
       271				124
       272				129
       270				128
       270				136
       272				131
       271				130
       270				144
       272				133
       272				131
       272				125
       269				124
       272				137
       270				146
       272				143
       271				146
       272				139
       272				129
       271				122
       271				134
       272				129
       272				133
       268				120
       272				125
       272				131
       272				133
       269				144
       269				140
       269				136
       271				134
       270				132
       269				132
       267				128
       272				131
       272				133
       271				146
       272				131
       272				141
       270				134
       272				131
       272				131
       270				118
       272				141
       271				138
       271				136
       269				150
       272				137
       272				141
       272				143
       272				133
       271				138
       271				140
       272				117
       272				139
