Complexity			Amount of 1's
       41				14
       35				14
       38				20
       39				20
       40				23
       30				16
       40				19
       40				22
       42				17
       38				18
       36				19
       40				17
       40				26
       36				24
       42				23
       40				19
       40				19
       39				14
       40				19
       39				17
       41				20
       40				16
       42				21
       39				29
       41				22
       40				24
       40				22
       38				20
       40				18
       39				28
       39				17
       41				20
       34				22
       39				26
       42				19
       42				23
       42				19
       42				19
       40				23
       41				14
       42				21
       40				25
       40				27
       37				24
       42				23
       37				20
       41				26
       39				17
       38				25
       41				24
       38				24
       40				24
       42				23
       42				23
       36				24
       42				21
       37				22
       39				29
       41				26
       38				22
       41				22
       42				19
       42				25
       42				29
       40				23
       41				18
       39				18
       38				24
       41				18
       42				19
       40				27
       42				21
       40				27
       42				29
       41				24
       38				24
       41				24
       38				20
       41				24
       42				19
       42				17
       39				14
       40				20
       39				23
       40				20
       40				16
       41				16
       36				14
       39				19
       38				22
       42				23
       40				20
       42				21
       40				21
       40				25
       35				16
       42				19
       38				24
       40				21
       39				14
