Complexity			Amount of 1's
       110				57
       108				56
       108				54
       110				59
       106				59
       110				57
       110				61
       110				61
       108				60
       109				56
       109				54
       109				54
       110				53
       110				61
       110				53
       109				62
       110				47
       109				52
       110				55
       110				51
       109				60
       109				58
       108				58
       105				56
       110				63
       109				52
       108				62
       110				53
       108				56
       109				56
       110				49
       108				70
       108				56
       109				54
       108				60
       109				58
       110				63
       108				48
       110				53
       106				53
       108				60
       109				60
       110				63
       109				56
       109				56
       104				56
       110				53
       109				56
       110				67
       109				58
       110				55
       109				42
       109				50
       108				58
       109				64
       105				48
       110				51
       108				60
       109				54
       110				53
       102				67
       110				53
       109				54
       108				50
       108				60
       109				50
       109				54
       109				56
       109				56
       110				55
       109				54
       110				47
       109				52
       108				58
       110				53
       109				50
       110				51
       108				54
       110				47
       110				59
       110				57
       110				55
       108				58
       108				54
       110				61
       110				59
       108				54
       109				62
       104				50
       110				51
       110				67
       110				55
       110				55
       110				45
       110				47
       108				58
       110				55
       110				49
       110				53
       108				50
