Complexity			Amount of 1's
       153				76
       156				77
       156				81
       155				88
       155				80
       152				79
       149				82
       156				71
       156				93
       156				73
       153				84
       155				76
       153				74
       155				78
       154				79
       152				78
       156				79
       148				73
       150				79
       154				82
       155				80
       156				79
       154				77
       150				82
       156				73
       156				79
       154				85
       153				72
       156				85
       152				83
       152				78
       156				67
       154				74
       154				91
       156				81
       151				76
       153				74
       154				76
       156				69
       152				86
       156				87
       152				88
       156				81
       154				91
       154				81
       154				85
       154				88
       156				83
       156				81
       155				74
       155				72
       152				80
       155				74
       153				74
       147				68
       154				68
       156				89
       153				80
       154				85
       155				78
       154				77
       156				87
       155				86
       156				71
       155				62
       156				77
       156				83
       152				83
       155				86
       154				82
       154				80
       155				82
       156				81
       153				78
       156				85
       154				80
       151				82
       155				78
       156				77
       156				73
       154				89
       152				69
       154				84
       156				77
       156				73
       155				76
       154				77
       156				73
       156				81
       153				72
       148				69
       152				94
       152				76
       154				73
       156				67
       155				84
       156				73
       153				84
       154				77
       156				75
