Complexity          Amount of 1's
         1                   6
         4                   2
         4                   3
         6                   3
         5                   2
         5                   4
         6                   1
         5                   4
         6                   1
         2                   4
         6                   3
         4                   4
         6                   5
         5                   2
         6                   1
         3                   2
         6                   3
         5                   4
         4                   3
         4                   2
         0                   0
         5                   4
         4                   4
         4                   2
         4                   3
         0                   0
         6                   1
         6                   3
         4                   3
         6                   1
         6                   3
         6                   1
         5                   2
         5                   4
         6                   3
         4                   4
         5                   4
         1                   6
         6                   1
         4                   2
         5                   4
         4                   4
         2                   3
         4                   2
         3                   2
         4                   4
         6                   3
         4                   3
         4                   2
         6                   5
         6                   3
         5                   4
         6                   3
         5                   4
         6                   1
         3                   2
         6                   3
         6                   3
         2                   3
         4                   4
         4                   2
         2                   3
         4                   2
         6                   5
         3                   2
         4                   3
         4                   4
         1                   6
         4                   2
         5                   4
         6                   3
         4                   4
         6                   3
         6                   3
         6                   1
         1                   6
         4                   4
         4                   4
         4                   3
         1                   6
         6                   3
         4                   2
         2                   4
         4                   2
         4                   3
         5                   4
         6                   5
         6                   5
         4                   4
         4                   3
         5                   4
         4                   2
         6                   1
         6                   5
         5                   2
         5                   4
         6                   3
         5                   2
         6                   3
         6                   3
