Complexity          Amount of 1's
        39                  18
        42                  25
        41                  22
        41                  20
        40                  21
        34                  19
        42                  21
        40                  22
        42                  25
        39                  24
        39                  19
        42                  23
        36                  22
        40                  23
        40                  16
        41                  24
        42                  25
        42                  21
        42                  15
        41                  18
        41                  24
        39                  22
        35                  18
        40                  17
        40                  24
        41                  22
        41                  22
        38                  16
        40                  14
        40                  28
        39                  22
        38                  18
        40                  18
        38                  20
        41                  20
        40                  23
        40                  24
        42                  13
        42                  19
        40                  24
        42                  23
        40                  22
        36                  20
        41                  20
        37                  24
        38                  20
        40                  20
        41                  22
        39                  21
        42                  23
        39                  21
        41                  24
        39                  19
        41                  22
        42                  19
        40                  17
        42                  19
        38                  24
        41                  24
        39                  23
        38                  26
        41                  18
        42                  23
        42                  21
        42                  19
        40                  18
        41                  26
        40                  20
        39                  23
        40                  23
        38                  25
        40                  22
        40                  19
        42                  13
        36                  18
        40                  21
        40                  16
        42                  17
        38                  22
        42                  19
        42                  23
        41                  22
        36                  20
        42                  25
        42                  23
        39                  23
        42                  19
        41                  24
        39                  21
        38                  14
        40                  15
        42                  15
        37                  24
        40                  15
        41                  22
        36                  24
        41                  24
        40                  24
        42                  21
        40                  21
