Complexity          Amount of 1's
       109                  56
       110                  53
       110                  49
       108                  46
       108                  58
       108                  58
       110                  55
       110                  47
       108                  58
       109                  58
       110                  49
       108                  50
       110                  49
       104                  60
       110                  51
       110                  59
       110                  51
       106                  55
       110                  59
       109                  56
       109                  60
       110                  49
       108                  56
       110                  57
       110                  51
       109                  48
       110                  57
       106                  59
       105                  62
       108                  56
       110                  59
       108                  54
       109                  50
       110                  53
       108                  54
       109                  54
       110                  61
       108                  58
       109                  60
       110                  63
       110                  69
       109                  56
       109                  50
       109                  60
       110                  55
       109                  60
       109                  52
       110                  51
       110                  51
       109                  52
       109                  54
       108                  56
       110                  59
       110                  49
       109                  58
       108                  48
       108                  52
       110                  57
       110                  57
       110                  55
       108                  50
       110                  49
       108                  58
       110                  51
       108                  54
       108                  60
       110                  57
       108                  56
       110                  51
       104                  54
       109                  54
       108                  60
       109                  58
       109                  54
       110                  59
       109                  54
       109                  58
       110                  49
       110                  49
       110                  65
       110                  57
       109                  66
       109                  52
       110                  53
       109                  44
       109                  52
       110                  59
       110                  63
       109                  58
       108                  48
       108                  56
       108                  64
       110                  63
       110                  49
       110                  47
       110                  53
       110                  55
        98                  58
       110                  53
       110                  61
