Complexity          Amount of 1's
       150                  80
       154                  82
       156                  77
       156                  79
       154                  63
       156                  79
       154                  79
       155                  76
       152                  78
       152                  74
       152                  80
       153                  72
       156                  91
       154                  74
       152                  84
       156                  81
       152                  82
       155                  74
       153                  68
       153                  80
       154                  87
       155                  78
       156                  73
       154                  76
       150                  82
       156                  79
       155                  82
       155                  82
       154                  82
       155                  82
       152                  66
       155                  58
       155                  74
       156                  81
       154                  72
       151                  72
       152                  75
       154                  78
       154                  77
       156                  71
       153                  86
       154                  84
       155                  66
       154                  86
       154                  75
       155                  74
       154                  77
       154                  80
       153                  80
       152                  77
       156                  75
       152                  70
       155                  74
       150                  66
       153                  68
       154                  87
       154                  81
       156                  63
       155                  72
       150                  71
       156                  79
       156                  73
       154                  83
       155                  80
       156                  79
       156                  71
       156                  73
       154                  79
       155                  78
       152                  74
       154                  71
       156                  81
       154                  72
       154                  80
       153                  72
       154                  86
       156                  89
       156                  81
       152                  80
       156                  77
       156                  81
       156                  75
       150                  78
       154                  78
       154                  79
       152                  84
       153                  70
       156                  77
       156                  71
       156                  71
       153                  80
       154                  85
       154                  89
       153                  70
       156                  77
       152                  77
       155                  82
       155                  74
       154                  79
       153                  80
