Complexity          Amount of 1's
        19                  16
        20                   9
        19                   8
        18                   8
        16                  10
        19                  10
        20                   9
        20                   7
        19                  12
        15                  10
        20                   9
        20                   3
        17                  12
        19                   8
        19                   6
        16                   8
        19                   8
        17                  10
        20                   7
        19                  10
        20                  13
        20                   9
        20                   9
        16                  10
        16                   5
        20                   9
        18                   8
        17                   8
        20                   7
        17                  14
        19                  14
        20                   9
        20                   7
        20                   7
        18                   8
        20                   9
        19                   8
        19                  10
        16                   9
        17                  10
        20                  11
        20                  11
        16                   8
        19                  10
        16                  14
        20                   9
        20                  11
        20                  11
        20                  11
        19                   8
        18                  12
        20                  15
        19                   8
        20                  11
        20                   9
        20                  11
        19                  10
        20                  11
        17                  10
        20                   9
        18                   8
        20                  11
        20                  11
        18                   8
        20                  11
        20                  11
        20                   9
        16                   9
        20                  11
        15                  10
        20                   7
        20                   9
        19                  12
        17                  12
        16                   9
        16                  12
        19                  10
        19                   6
        20                  11
        18                  12
        19                  12
        20                   9
        20                   7
        16                  10
        19                  10
        12                  10
        20                  13
        18                  10
        20                   7
        18                   8
        20                  11
        20                   7
        16                  12
        16                   6
        20                   7
        20                   9
        19                  12
        19                   8
        20                   9
        18                   6
