Complexity          Amount of 1's
       156                  67
       155                  70
       154                  85
       156                  87
       156                  79
       156                  75
       154                  79
       154                  88
       154                  78
       154                  75
       156                  81
       156                  75
       148                  82
       156                  81
       155                  64
       155                  74
       151                  80
       148                  80
       156                  69
       154                  76
       148                  62
       155                  72
       156                  83
       156                  77
       155                  80
       155                  94
       155                  82
       153                  70
       154                  86
       155                  82
       152                  78
       152                  73
       154                  76
       156                  61
       156                  81
       155                  82
       156                  75
       155                  76
       154                  78
       153                  84
       152                  78
       147                  80
       156                  91
       155                  80
       156                  71
       155                  72
       156                  73
       156                  77
       149                  72
       156                  71
       154                  79
       156                  73
       156                  77
       153                  84
       156                  85
       150                  90
       153                  92
       156                  71
       152                  72
       156                  85
       156                  87
       156                  89
       152                  80
       152                  76
       154                  84
       156                  79
       156                  85
       154                  72
       152                  73
       150                  84
       154                  76
       153                  68
       155                  82
       154                  95
       155                  78
       155                  74
       156                  81
       155                  78
       156                  83
       155                  82
       156                  75
       156                  81
       152                  88
       156                  81
       148                  83
       156                  83
       154                  65
       156                  79
       154                  79
       153                  78
       152                  87
       154                  85
       156                  77
       155                  88
       154                  81
       152                  78
       152                  86
       156                  83
       146                  84
       156                  77
