Complexity          Amount of 1's
        20                  11
        20                  11
        19                  12
        18                  10
        20                  11
        19                  14
        17                   8
        20                   9
        20                  11
        16                  10
        14                  10
        20                  13
        18                   8
        20                   7
        20                   9
        16                  14
        16                  13
        20                   9
        16                  11
        20                  11
        20                   9
        20                   7
        20                   7
        20                   7
        19                   8
        20                   9
        19                  10
        20                  17
        20                  13
        18                  10
        16                  11
        20                   7
        19                  14
        16                  11
        20                   9
        19                  14
        20                  15
        20                   9
        18                  12
        19                  10
        19                  10
        19                   8
        20                  11
        16                  13
        18                   8
        16                  15
        19                  12
        16                  10
        19                  12
        20                  11
        16                   8
        19                   8
        16                  12
        20                  13
        20                   9
        20                  11
        19                  12
        19                   8
        20                  11
        18                   8
        20                  11
        20                  13
        19                  10
        20                  11
        19                   8
        20                  13
        19                  10
        18                  10
        16                   8
        20                  11
        20                  11
        20                  15
        20                  11
        20                   9
        14                  10
        19                   8
        20                  11
        14                   8
        20                  11
        20                   9
        19                   8
        20                   9
        15                   4
        20                   7
        19                   6
        20                  11
        20                   7
        20                  13
        20                  11
        20                   7
        20                  13
        20                   9
        19                  12
        19                  10
        18                   8
        20                   9
        20                  11
        19                   8
        19                  12
        18                  12
