Complexity          Amount of 1's
        45                  24
        48                  22
        49                  25
        49                  29
        49                  29
        49                  17
        49                  23
        49                  25
        49                  31
        49                  29
        48                  26
        48                  30
        49                  29
        49                  25
        45                  22
        49                  23
        49                  25
        49                  25
        49                  17
        49                  23
        46                  23
        45                  20
        48                  26
        46                  21
        48                  28
        48                  26
        48                  28
        48                  26
        45                  24
        48                  24
        48                  20
        48                  22
        48                  28
        48                  26
        45                  28
        48                  30
        48                  28
        46                  27
        46                  23
        48                  22
        49                  29
        48                  14
        49                  23
        45                  26
        48                  18
        48                  26
        48                  24
        48                  20
        45                  24
        48                  24
        46                  25
        46                  19
        49                  23
        48                  28
        48                  28
        49                  25
        48                  22
        46                  25
        49                  23
        46                  23
        49                  27
        48                  26
        48                  18
        49                  29
        49                  27
        49                  23
        49                  23
        48                  28
        49                  25
        45                  26
        46                  27
        46                  27
        48                  22
        48                  30
        48                  22
        48                  28
        49                  25
        48                  22
        46                  25
        48                  28
        45                  26
        48                  26
        48                  28
        48                  24
        48                  22
        49                  31
        49                  25
        49                  27
        45                  22
        49                  21
        48                  22
        46                  29
        48                  20
        48                  20
        49                  23
        48                  22
        48                  26
        49                  21
        49                  27
        45                  24
