Complexity          Amount of 1's
        33                  13
        32                  18
        33                  15
        32                  16
        32                  14
        33                  11
        32                  18
        33                  13
        31                  17
        33                  11
        33                  15
        31                  13
        32                  18
        31                  15
        32                  14
        33                  15
        33                  15
        32                  18
        33                  17
        32                  20
        33                  19
        30                  16
        31                  17
        32                  20
        32                  18
        31                  19
        33                  15
        33                  15
        33                  17
        33                  21
        33                  17
        33                  19
        32                  18
        30                  16
        33                  21
        32                  18
        32                  18
        33                  15
        33                  17
        32                  18
        32                  18
        33                  15
        32                  14
        32                  22
        32                  16
        33                  13
        33                  17
        33                  21
        32                  20
        33                  15
        33                  11
        32                  16
        33                  19
        32                  18
        31                  21
        31                  19
        33                  23
        33                  19
        33                  19
        32                  16
        30                  22
        30                  12
        33                  19
        33                  17
        33                  21
        33                  15
        32                  16
        33                  15
        33                  11
        30                  16
        31                  17
        32                  18
        33                  17
        32                  12
        32                  14
        33                  15
        30                  18
        32                  18
        33                  19
        31                  17
        32                  18
        33                  19
        30                  14
        33                  17
        33                  13
        33                  19
        33                  19
        33                  19
        33                  15
        30                  18
        33                  13
        32                  14
        32                  16
        32                  18
        31                  17
        32                  16
        31                  19
        32                  16
        32                  16
        33                  15
