Complexity          Amount of 1's
        19                  11
        18                   8
        18                   8
        19                   7
        18                  10
        18                   8
        18                  14
        19                  15
        19                   7
        18                  10
        18                  10
        19                   9
        18                   8
        18                  10
        19                   9
        19                  13
        19                  13
        19                  11
        19                  11
        19                  11
        18                  10
        18                   8
        19                   9
        18                  10
        18                  14
        18                  10
        19                  11
        19                  13
        19                   7
        18                  10
        19                  11
        19                   9
        19                  13
        18                   8
        19                   9
        19                  11
        19                   9
        18                  12
        19                  11
        18                  10
        19                   7
        19                  11
        18                   8
        19                   7
        19                   7
        19                  13
        19                   9
        19                   7
        19                   9
        18                  10
        19                   9
        18                  10
        18                  12
        18                  10
        19                   9
        19                   7
        18                  12
        18                  10
        18                  10
        19                  11
        18                  12
        18                  10
        19                  13
        18                  10
        19                  11
        18                   6
        19                   9
        18                  12
        19                  11
        18                  10
        18                  10
        19                   7
        19                   9
        19                  11
        19                  13
        19                   9
        19                  11
        19                  11
        18                   8
        18                   6
        18                  14
        18                  12
        18                  10
        18                  10
        19                   9
        19                   9
        19                  13
        19                  11
        19                   9
        18                   8
        18                   8
        18                   8
        19                   9
        19                   5
        18                  10
        18                   8
        18                  10
        19                   9
        18                  10
        18                  12
