Complexity          Amount of 1's
        28                  17
        30                  17
        30                  15
        30                  13
        28                  20
        26                  11
        29                  18
        30                  15
        30                  15
        30                  11
        30                  15
        30                  13
        20                  24
        30                  15
        29                  14
        28                  15
        28                  14
        27                  12
        30                  19
        26                  17
        28                  17
        26                  13
        28                  15
        24                  22
        26                  14
        30                  17
        28                  12
        28                  15
        30                  15
        28                  16
        26                   9
        21                  12
        30                  11
        29                  12
        30                  15
        24                  16
        25                  16
        30                  15
        28                  11
        26                  22
        25                  12
        29                  12
        27                  16
        22                  13
        29                  12
        24                  14
        30                  15
        29                  18
        30                  17
        30                  15
        28                  21
        26                  11
        28                  16
        24                  17
        30                  13
        28                  15
        28                  14
        26                  17
        30                  13
        28                  14
        26                  14
        29                  14
        26                  18
        30                  17
        26                  15
        24                  14
        25                  14
        28                  21
        26                  19
        25                  12
        29                  16
        24                  15
        28                  14
        28                  14
        24                  16
        28                  12
        28                  20
        30                  15
        28                  16
        30                  15
        24                  13
        28                  14
        29                  14
        20                  14
        26                  13
        24                  16
        25                  12
        26                  15
        26                  17
        30                  11
        25                  16
        28                  14
        28                  15
        28                  18
        24                  14
        30                  13
        28                  17
        29                  22
        28                  13
        28                  16
