Complexity          Amount of 1's
        14                   7
         9                   6
        12                  10
        14                   9
        14                   5
        14                   3
        14                   5
        13                   8
        11                   9
        14                   9
        14                   9
        13                   8
        14                   5
        13                   6
        10                   8
        11                   9
         9                   6
        11                   3
        13                  10
        12                  10
        11                   9
        12                   6
         3                   8
        11                   9
        12                   6
        14                   7
         7                  10
        13                   4
        12                   6
        14                   5
        14                   9
        14                   5
        14                   7
        12                  12
        14                   5
        12                   6
        12                   6
        13                   2
        14                   7
        13                   6
        13                   8
        13                   4
        14                   5
        13                   6
        14                   7
         8                   3
        11                   7
        12                   6
        12                   8
         9                   4
        14                   5
        14                   9
        14                   7
        13                   8
        13                   8
        12                   4
        11                   9
        14                   5
        14                   5
        10                   6
        12                   8
        14                   3
        11                   7
        14                   5
        13                   4
        13                   2
        10                   4
        13                  10
        11                   9
        10                   8
        14                   7
         7                  10
        13                   8
        14                   7
        11                   5
        14                   7
        14                   7
        14                   9
        10                   4
        14                   7
        11                   7
        12                   4
        10                   6
        14                   5
        13                   8
         6                   8
        13                   6
         9                   6
        14                   7
        11                   7
        14                   7
        11                   9
        10                   8
        14                   5
        14                   5
         9                   8
        13                   4
        10                   8
        12                  12
        13                   8
