Complexity          Amount of 1's
        47                  23
        46                  28
        46                  24
        46                  22
        46                  28
        47                  19
        47                  23
        47                  29
        46                  20
        47                  23
        47                  21
        46                  22
        46                  18
        46                  18
        46                  26
        46                  24
        47                  27
        47                  25
        46                  30
        46                  24
        46                  22
        47                  25
        47                  25
        47                  27
        46                  20
        46                  28
        47                  27
        47                  21
        46                  26
        46                  24
        46                  22
        46                  20
        47                  19
        47                  25
        46                  22
        46                  26
        46                  26
        46                  24
        46                  28
        46                  26
        46                  22
        47                  17
        46                  22
        47                  29
        46                  18
        46                  22
        47                  29
        46                  24
        47                  19
        46                  24
        46                  26
        47                  25
        46                  24
        47                  19
        47                  15
        47                  21
        46                  24
        46                  28
        46                  24
        47                  21
        47                  27
        46                  26
        47                  17
        47                  25
        46                  18
        47                  17
        46                  30
        46                  22
        47                  27
        47                  19
        47                  21
        47                  17
        46                  20
        47                  21
        47                  25
        46                  26
        47                  19
        46                  24
        47                  25
        46                  24
        46                  24
        46                  20
        46                  28
        46                  16
        46                  26
        46                  24
        46                  22
        47                  19
        47                  17
        46                  26
        46                  20
        46                  24
        47                  21
        47                  23
        46                  30
        47                  25
        46                  18
        46                  28
        46                  28
        47                  27
