Complexity          Amount of 1's
        28                  18
        29                  11
        28                  10
        28                  12
        28                  14
        28                  16
        28                  10
        28                  18
        29                  15
        29                  11
        28                  12
        28                  14
        28                  10
        29                  17
        29                  17
        29                  13
        28                   8
        28                  12
        28                  16
        29                  19
        28                  10
        28                  14
        28                  10
        28                  12
        29                  19
        28                  18
        28                  10
        28                   8
        28                  16
        29                  15
        29                  15
        29                  13
        29                  13
        29                  13
        28                  14
        29                  13
        29                  19
        29                  11
        28                  12
        28                  12
        28                  14
        29                  13
        29                  13
        28                  18
        29                  15
        29                  13
        28                  16
        28                  18
        28                  18
        29                  15
        29                  15
        29                  19
        29                  15
        29                  13
        28                  10
        29                  21
        29                  15
        29                  13
        28                  10
        28                  18
        29                  13
        28                  18
        29                  13
        29                  13
        29                  15
        28                  20
        29                  15
        29                  13
        29                  15
        28                  16
        29                  13
        28                  10
        29                  13
        29                  11
        28                  20
        28                  16
        28                  14
        29                  13
        28                  14
        28                  16
        28                  10
        29                  17
        28                  16
        29                  13
        29                  13
        29                  11
        29                  13
        28                  18
        29                  17
        28                  16
        29                  15
        29                  17
        28                  14
        29                  17
        29                  13
        29                  15
        28                  16
        28                  12
        29                  15
        29                  17
