Complexity          Amount of 1's
        36                  20
        37                  14
        38                  19
        37                  24
        36                  16
        38                  13
        36                  18
        38                  19
        36                  18
        38                  25
        37                  16
        38                  15
        37                  28
        36                  18
        36                  16
        38                  19
        38                  23
        38                  23
        37                  20
        38                  17
        38                  23
        37                  14
        38                  25
        37                  18
        38                  19
        38                  21
        37                  22
        36                  18
        38                  17
        38                  23
        38                  17
        37                  20
        37                  20
        37                  20
        38                  19
        38                  17
        38                  19
        37                  22
        36                  18
        37                  16
        38                  19
        38                  19
        36                  20
        37                  20
        37                  16
        36                  16
        38                  17
        36                  22
        36                  14
        38                  17
        36                  18
        36                  18
        37                  18
        38                  25
        38                  13
        37                  24
        38                  17
        37                  20
        38                  17
        38                  21
        36                  24
        36                  18
        37                  20
        38                  23
        36                  18
        38                  25
        38                  19
        38                  19
        38                  17
        38                  19
        38                  25
        38                  21
        38                  19
        36                  16
        37                  20
        38                  15
        38                  23
        38                  23
        37                  20
        38                  19
        38                  17
        37                  22
        38                  19
        38                  21
        36                  18
        38                  21
        37                  20
        38                  19
        38                  23
        36                  12
        38                  11
        38                  17
        36                  22
        36                  20
        36                  20
        38                  21
        36                  22
        37                  22
        36                  14
        38                  19
