Complexity          Amount of 1's
        17                   7
        17                   9
        16                   6
        17                   9
        16                   6
        16                  10
        16                  10
        16                   6
        16                   6
        17                   9
         9                  11
        16                  12
        17                   7
        17                  11
        16                   8
        16                  10
        16                   6
        16                  10
        17                   7
        16                   6
        16                   8
        16                   6
        17                  11
        16                   8
        17                   5
        16                  10
        17                   5
        16                   6
        16                  10
        17                  11
        17                   9
        16                  12
        17                   7
        16                  10
        16                   8
        16                   8
        16                  10
        16                  10
        17                   5
        17                   9
        17                   9
        16                   8
        17                   7
        16                  10
        16                  12
        17                   9
        17                   9
        17                  11
        16                   8
        16                   6
        17                   3
        16                   8
        17                   7
        16                  12
        17                   7
        16                  10
        17                  11
        17                   7
        17                  11
        17                   7
        17                  11
        16                  12
        16                   8
        16                   4
        17                   9
        17                  11
        16                   8
        16                  10
        17                   5
        16                   8
        16                   8
        16                  10
        17                  11
        17                   7
        16                   8
        16                  10
        16                  10
        16                  10
        17                   7
        17                   9
        17                   9
        16                   8
        16                   8
        16                   8
        16                   6
        17                   9
        17                   7
         8                  12
        17                  11
        16                   8
        17                   9
        16                  10
        17                   5
        17                  11
        17                   9
        16                   8
        16                  10
        16                  10
        17                  13
        17                   7
