Complexity          Amount of 1's
        37                  21
        36                  14
        37                  21
        36                  20
        36                  16
        36                  22
        36                  18
        36                  20
        36                  18
        36                  20
        37                  21
        36                  14
        37                  19
        36                  20
        37                  23
        37                  21
        36                  22
        37                  21
        36                  18
        37                  17
        37                  17
        37                  19
        36                  18
        36                  14
        37                  15
        36                  18
        37                  21
        37                  21
        37                  13
        36                  12
        37                  23
        36                  20
        36                  14
        37                  13
        37                  23
        37                  21
        37                  17
        37                  17
        36                  20
        37                  21
        36                  16
        36                  20
        37                  19
        36                  18
        37                  19
        37                  19
        37                  21
        37                  15
        37                  15
        37                  21
        37                  17
        36                  20
        36                  20
        37                  21
        36                  18
        37                  23
        37                  15
        36                  16
        36                  18
        36                  24
        37                  17
        37                  21
        37                  15
        37                  19
        36                  18
        37                  21
        36                  22
        36                  18
        36                  18
        37                  19
        36                  20
        36                  12
        36                  20
        36                  18
        37                  21
        37                  13
        37                  21
        36                  16
        37                  19
        36                  16
        37                  19
        37                  21
        36                  22
        37                  15
        37                  25
        37                  19
        36                  16
        37                  21
        37                  21
        37                  21
        37                  21
        36                  14
        37                  15
        37                  21
        36                  18
        37                  15
        37                  19
        37                  19
        37                  17
        37                  23
