Complexity          Amount of 1's
        40                  16
        41                  27
        40                  22
        40                  16
        40                  20
        40                  16
        41                  21
        41                  21
        41                  23
        41                  21
        41                  21
        41                  25
        40                  12
        40                  16
        41                  25
        40                  20
        41                  23
        41                  19
        40                  16
        40                  22
        40                  18
        40                  20
        40                  20
        40                  18
        40                  22
        41                  17
        40                  22
        40                  26
        40                  16
        41                  21
        40                  20
        40                  24
        41                  21
        41                  25
        41                  19
        41                  21
        41                  23
        41                  25
        40                  22
        40                  16
        41                  21
        41                  23
        41                  23
        41                  15
        41                  19
        41                  15
        40                  24
        41                  25
        40                  22
        41                  19
        41                  19
        41                  25
        40                  22
        40                  22
        41                  19
        41                  19
        41                  17
        41                  27
        40                  24
        40                  16
        41                  17
        41                  23
        41                  21
        40                  20
        40                  22
        40                  18
        41                  19
        40                  20
        40                  18
        40                  22
        40                  22
        40                  22
        41                  21
        40                  10
        40                  20
        41                  23
        40                  18
        40                  22
        40                  18
        41                  23
        41                  23
        41                  27
        41                  21
        41                  21
        40                  24
        41                  23
        40                  26
        40                  18
        40                  16
        41                  19
        41                  17
        40                  24
        40                  18
        40                  14
        41                  17
        41                  19
        40                  20
        40                  22
        41                  23
        41                  17
