Complexity          Amount of 1's
        11                   7
        11                   7
        10                   8
        10                   6
        10                   6
        11                   3
        10                   8
        11                   5
        10                   2
        10                   6
        11                   3
        10                   4
        11                   3
        10                   2
        10                   6
        11                   5
        11                   3
        11                   5
        10                   6
        11                   7
        10                   4
        10                   6
        11                   5
        11                   5
        10                   8
        10                   6
        10                   6
        11                   5
        11                   7
        11                   5
        11                   5
        11                   3
        11                   7
        11                   7
        10                   2
        11                   5
        10                   4
        10                   8
        11                   5
        10                   6
        11                   5
        11                   7
        10                   6
        10                   4
        10                   6
        11                   7
        11                   7
        10                   6
        10                   6
        11                   7
        11                   5
        11                   7
        11                   5
        10                   4
        10                   6
        10                   4
        11                   5
        10                   4
        10                   8
        11                   5
        11                   5
        11                   5
        10                   4
        10                   4
        11                   3
        10                   4
        10                   2
        10                   8
        11                   5
        10                   2
        11                   5
        10                   6
        10                   8
        10                   4
        10                   6
        10                   6
        10                   4
        10                   6
        11                   7
        11                   5
        10                   2
        11                   7
        11                   7
        10                   6
        11                   3
        11                   5
        10                   6
        10                   8
        11                   7
        11                   5
        11                   5
        10                   6
        10                   6
        10                   4
        11                   5
        11                   3
        10                   6
        10                   6
        10                   6
        11                   7
