Complexity          Amount of 1's
        10                   8
        12                   3
        12                   7
        11                   8
        10                   4
         9                   8
        10                   7
        12                   9
        12                   7
        12                   5
        12                   7
        12                   7
        12                   7
        12                   7
         9                   4
        12                   3
         9                   8
        12                   7
        10                   5
        11                   8
        10                   5
        11                   6
         8                   2
        10                   4
         8                   2
        12                   1
         8                   6
        11                   4
        12                   5
        12                   9
        12                   5
        10                   6
         9                   8
        12                   5
        10                   6
        12                   9
        12                   7
        10                   4
        12                   5
        10                   6
        12                   7
        12                   3
        12                   5
        12                   3
        12                   7
         9                   4
        12                   5
        10                   2
         8                   4
        12                   7
        12                   5
        10                   6
         9                   4
         8                   7
        11                   6
        12                   5
        10                   8
        10                   4
         8                   8
        11                   6
        10                   4
         9                   8
        12                   3
         9                   6
         9                   8
         6                   4
         7                   6
         7                   6
        12                   9
        12                   7
        12                   7
        12                   5
        12                   7
         9                   8
        12                   5
        10                   6
        11                   6
        11                   6
        12                   7
        10                   6
         8                   6
        12                   5
        12                   5
         7                   6
         9                   4
        11                   4
        12                   7
         8                   6
         8                   7
        12                   7
        12                   3
        12                   7
        12                   7
        10                   9
        12                   3
         8                   6
         8                   4
         8                   8
         9                   8
        10                   7
