Complexity          Amount of 1's
        44                  24
        47                  18
        48                  29
        48                  23
        44                  24
        48                  17
        43                  20
        44                  16
        48                  15
        46                  17
        46                  22
        47                  18
        48                  25
        47                  22
        48                  27
        44                  24
        46                  19
        46                  24
        48                  27
        48                  25
        48                  23
        48                  29
        44                  22
        45                  18
        47                  26
        46                  26
        45                  24
        48                  23
        48                  25
        45                  22
        48                  23
        47                  24
        42                  22
        48                  25
        43                  16
        46                  26
        46                  25
        48                  23
        46                  23
        46                  27
        43                  26
        41                  20
        43                  22
        48                  19
        44                  25
        46                  23
        47                  20
        42                  23
        44                  26
        46                  25
        48                  27
        47                  20
        45                  32
        48                  27
        48                  25
        47                  20
        46                  19
        48                  29
        48                  25
        45                  20
        48                  27
        48                  23
        48                  23
        48                  27
        48                  23
        48                  25
        46                  20
        45                  24
        48                  25
        46                  25
        35                  28
        46                  21
        48                  31
        42                  21
        48                  25
        47                  26
        46                  20
        46                  25
        44                  20
        48                  27
        48                  23
        41                  24
        48                  25
        47                  24
        48                  23
        48                  19
        48                  17
        46                  29
        47                  26
        48                  25
        48                  25
        44                  30
        44                  26
        46                  24
        48                  17
        43                  20
        47                  24
        48                  19
        46                  26
        46                  22
