Complexity          Amount of 1's
        39                  17
        38                  20
        39                  11
        37                  11
        39                  15
        38                  18
        39                  17
        39                  17
        39                  13
        39                  19
        38                  20
        37                  25
        36                  18
        38                  20
        38                  18
        38                  26
        37                  19
        39                  25
        39                  21
        38                  18
        38                  24
        36                  20
        36                  20
        39                  23
        38                  20
        38                  18
        39                  21
        38                  26
        38                  18
        38                  20
        38                  20
        36                  20
        38                  20
        38                  18
        39                  17
        37                  25
        38                  14
        39                  23
        38                  24
        38                  24
        39                  19
        38                  22
        38                  18
        39                  19
        38                  18
        39                  17
        36                  14
        37                  23
        38                  18
        39                  21
        39                  19
        38                  22
        39                  19
        39                  19
        38                  20
        39                  25
        38                  16
        37                  25
        39                  19
        37                  19
        39                  17
        38                  18
        38                  16
        39                  15
        36                  20
        38                  20
        38                  20
        36                  22
        39                  17
        38                  24
        38                  18
        39                  23
        38                  20
        38                  22
        39                  21
        38                  22
        39                  23
        39                  17
        39                  19
        39                  21
        39                  23
        36                  14
        39                  19
        39                  23
        38                  14
        38                  18
        38                  22
        36                  18
        39                  15
        38                  20
        38                  16
        38                  16
        39                  19
        38                  24
        38                  16
        38                  22
        39                  23
        38                  20
        37                  17
        39                  19
