Complexity          Amount of 1's
        23                   9
        23                  15
        23                  11
        22                  12
        23                  13
        23                  11
        23                  11
        23                   9
        22                  12
        23                  11
        22                  10
        23                  19
        22                  12
        23                  15
        23                  13
        22                  14
        23                  13
        22                  12
        23                  13
        23                   9
        23                  17
        23                  15
        22                  12
        23                   5
        23                  13
        23                  11
        23                   9
        22                  10
        22                  10
        23                  11
        22                  12
        22                  10
        22                  14
        23                  13
        23                  11
        22                  16
        22                  10
        23                  13
        22                  10
        22                  10
        23                   9
        23                  11
        22                  10
        23                  11
        23                  13
        22                  10
        22                  16
        22                  12
        22                  12
        22                  10
        22                  12
        22                   8
        23                  13
        23                  11
        22                  16
        23                  13
        22                  10
        22                  10
        22                  14
        22                  10
        22                  14
        23                  15
        22                  10
        23                   9
        22                  12
        23                  11
        22                  14
        23                  13
        22                  12
        23                  13
        23                  13
        22                  12
        22                  12
        22                  12
        23                  13
        23                   7
        22                  12
        23                   9
        22                   8
        22                  10
        23                  17
        23                   7
        22                  10
        22                  12
        22                  12
        23                  13
        22                  12
        22                  10
        23                  11
        22                  12
        22                  10
        23                  15
        22                  14
        23                   9
        23                   9
        22                  12
        23                  15
        23                  13
        22                  10
        23                  13
