Complexity          Amount of 1's
        32                  10
        34                  21
        33                  14
        33                  18
        33                  16
        33                  18
        33                  20
        34                  17
        33                  24
        33                  16
        33                  16
        33                  20
        32                  16
        34                  11
        33                  12
        33                  18
        34                  15
        33                  16
        34                  11
        34                  13
        34                  17
        33                  12
        34                  13
        34                  19
        32                  14
        33                  20
        34                  19
        33                  18
        34                  13
        34                  17
        32                  12
        32                  16
        34                  17
        34                  17
        34                  17
        32                  14
        33                  16
        32                  16
        34                  19
        33                  16
        33                  18
        34                  13
        34                  17
        34                  19
        34                  23
        34                  13
        34                  17
        32                  18
        34                  15
        32                  14
        34                  17
        32                  14
        34                  21
        33                  20
        32                  16
        34                  21
        34                  13
        34                  19
        32                  18
        32                  14
        32                  14
        32                  18
        34                  17
        34                  15
        32                  16
        34                  17
        34                  15
        32                  20
        33                  18
        33                  20
        32                  14
        34                  15
        33                  20
        33                  14
        34                  19
        33                  20
        32                  16
        33                  10
        33                  14
        32                  22
        34                  15
        33                  16
        32                  26
        32                  18
        33                  20
        34                  17
        34                  19
        34                  11
        34                  25
        32                  14
        25                  20
        33                  22
        33                  14
        33                  20
        34                  17
        32                  16
        32                  14
        32                  20
        34                  21
        32                  12
