Complexity          Amount of 1's
        18                   9
        18                   9
        16                   8
        17                   6
        18                   5
        16                  11
        16                   7
        16                  11
        16                   9
        16                  10
        17                  10
        17                  10
        17                   8
        14                  11
        18                   9
        18                  13
        16                  10
        18                  11
        17                   8
        17                   8
        18                  11
        18                   9
        14                   9
        18                  11
        18                   9
        18                   9
        16                   4
        18                  11
        18                  11
        16                   8
        18                   7
        15                   8
        12                   8
        16                   9
        17                  10
        18                   9
        15                   8
        18                   5
        18                   9
        14                   5
        17                  10
        18                  13
        18                   7
        18                   9
        16                  11
        18                   7
        16                  11
        12                   8
        15                  10
        16                  12
        18                   9
        17                  10
        18                  11
        16                   9
        16                   4
        18                   7
        16                   5
        14                  12
        18                   5
        17                  10
        12                   8
        17                  10
        18                  11
        16                   8
        17                  10
        18                  13
        12                  10
        18                   5
        17                  10
        16                   8
        18                   9
        17                   8
        18                   7
        16                  11
        16                   9
        18                  11
        18                   7
        16                  11
        17                  12
        15                   8
        15                  10
        18                  11
        18                  11
        13                  10
        16                   8
        18                   9
        18                   9
        16                  10
        18                  11
        18                  11
        17                  10
        16                  12
        16                   8
        18                  13
        18                  11
        18                   9
        17                  12
        17                  10
        16                  12
        16                  10
