Complexity          Amount of 1's
        15                   8
        14                   6
        14                  10
        16                   7
        16                   9
        14                   6
        12                   6
        16                   7
        15                   8
        16                   5
        13                  10
        15                  10
        15                   6
        15                   6
        14                   8
        15                   2
        16                   7
        12                   8
        14                   8
        16                   7
        16                  11
        14                  10
        16                  11
        13                  10
        15                  10
        16                   9
        15                   8
        15                  10
        16                   9
        15                   8
        14                   6
        16                   9
        16                   9
        16                  11
        16                   7
        13                   8
        15                   4
        16                   5
        15                   8
        16                   5
        12                   6
        11                  10
        13                   8
        15                   8
        16                   9
        16                   5
        15                   8
        14                  10
        13                   6
        14                   8
        14                  12
        16                  11
        14                   8
        10                  10
        15                  10
        16                   9
        13                  12
        16                   9
        15                  10
        15                   8
        10                  10
        15                   6
        16                  11
        14                   4
        16                   7
        14                   6
        16                   7
        15                   8
        16                   9
        11                  10
        13                   6
        16                   7
        16                   5
        16                   9
        15                   4
        15                   6
        16                   3
        16                  11
        16                  13
        12                   8
        16                   7
        15                   8
        13                   6
        16                  11
        16                   7
        16                   7
        16                   9
        16                  11
        15                  10
        15                  10
        16                   9
        14                  10
        16                   7
        15                   8
        13                   4
        16                   7
        16                   5
        16                   9
        15                  10
        16                  11
