Complexity          Amount of 1's
        36                  17
        35                  16
        35                  18
        34                  18
        36                  19
        28                  18
        33                  16
        33                  18
        32                  16
        34                  17
        28                  23
        36                  15
        34                  13
        33                  20
        32                  18
        35                  16
        36                  21
        34                  15
        34                  20
        36                  19
        34                  15
        29                  20
        35                  16
        34                  12
        34                  17
        35                  20
        36                  15
        34                  18
        34                  23
        32                  16
        30                  18
        34                  24
        34                  17
        36                  21
        33                  20
        35                  20
        34                  20
        34                  16
        31                  18
        35                  22
        32                  14
        36                  23
        35                  14
        36                  21
        36                  19
        34                  18
        35                  16
        35                  20
        30                  12
        33                  16
        36                  15
        34                  17
        34                  20
        34                  17
        35                  22
        31                  18
        36                  21
        34                  17
        33                  22
        31                  20
        35                  20
        35                  22
        36                  21
        36                  17
        32                  16
        31                  20
        34                  16
        31                  20
        28                  13
        30                  13
        36                  17
        36                  19
        36                  19
        34                  17
        36                  19
        35                  14
        34                  20
        36                  15
        35                  18
        36                  17
        34                  14
        36                  15
        36                  15
        34                  20
        36                  15
        35                  22
        36                  19
        35                  22
        33                  20
        33                  20
        35                  22
        36                  19
        34                  13
        36                  13
        36                  21
        36                  15
        33                  20
        32                  16
        36                  17
        36                  17
