Complexity          Amount of 1's
         8                   6
        10                   3
        10                   7
         9                   6
         9                   2
         4                   4
        10                   3
         8                   6
         9                   6
        10                   1
         4                   4
        10                   5
         6                   5
        10                   3
         6                   5
         9                   6
         8                   2
        10                   3
         8                   6
         9                   2
        10                   3
        10                   7
        10                   5
         9                   4
         8                   6
        10                   5
         4                   4
        10                   7
        10                   5
         9                   6
        10                   5
         9                   2
        10                   7
         8                   2
        10                   5
         5                   6
        10                   7
         8                   4
         9                   4
         9                   6
        10                   5
         8                   6
         8                   6
         8                   6
         9                   6
         8                   6
         8                   4
        10                   5
        10                   5
         9                   4
         9                   4
         9                   6
        10                   5
        10                   3
         9                   4
        10                   5
        10                   3
         9                   6
        10                   5
        10                   5
         8                   4
        10                   5
         9                   2
         9                   4
         8                   6
         9                   6
         9                   8
         9                   4
         9                   4
        10                   5
         8                   2
        10                   7
        10                   5
         9                   4
        10                   5
        10                   7
        10                   7
         4                   4
         9                   6
         9                   4
         9                   6
        10                   7
        10                   5
        10                   5
        10                   3
         5                   2
        10                   5
         8                   8
         9                   6
         9                   4
         9                   6
         8                   4
         4                   4
        10                   5
        10                   1
         9                   4
         9                   2
        10                   9
         9                   4
        10                   1
