Complexity          Amount of 1's
        22                  10
        28                  15
        25                  17
        25                  10
        28                  13
        26                  12
        28                   7
        28                  17
        27                  14
        25                  13
        28                  13
        28                  17
        26                  16
        28                  11
        28                  15
        28                   9
        28                  15
        28                  15
        28                  17
        23                  14
        26                  18
        28                  15
        28                  13
        28                   9
        28                   7
        28                  15
        27                  16
        28                  19
        28                  15
        19                  15
        27                  16
        25                  11
        28                  15
        25                  11
        23                  18
        28                  13
        28                  11
        28                  13
        27                  16
        24                  10
        25                  12
        26                  12
        28                  13
        22                  14
        28                  11
        28                  17
        28                  17
        24                  10
        28                  15
        28                  15
        27                  14
        27                  10
        26                  18
        24                  14
        22                  18
        28                  13
        26                  14
        28                  13
        25                  11
        28                  13
        24                  14
        28                  13
        25                  11
        21                  10
        25                  17
        27                  14
        25                  11
        27                   8
        22                  16
        27                   8
        28                   9
        27                  10
        25                  11
        28                  17
        26                  10
        27                  12
        26                  18
        28                  15
        28                  15
        28                  11
        28                  13
        28                  13
        28                  13
        24                  14
        25                  18
        27                  10
        26                  14
        28                  11
        27                  10
        24                  16
        25                  17
        26                  18
        25                  13
        25                  15
        28                  17
        28                  15
        27                  18
        22                  13
        28                  15
        27                  14
