Complexity          Amount of 1's
        31                  19
        31                  17
        30                  14
        30                  16
        31                  21
        30                  10
        31                  21
        30                  10
        31                  13
        31                  17
        30                  12
        26                  17
        25                  10
        31                  15
        30                  14
        31                  13
        30                  12
        31                  17
        25                  20
        31                  15
        31                  19
        30                  12
        30                  16
        31                  17
        30                  10
        30                  18
        31                  15
        31                  11
        31                  19
        31                  15
        30                  22
        31                  15
        26                  13
        30                  16
        31                  17
        31                  17
        30                  14
        30                  16
        31                  19
        21                  19
        30                  14
        31                  13
        25                  16
        30                  14
        30                  18
        31                  15
        31                  15
        30                  16
        30                  12
        31                  17
        21                  19
        30                  18
        25                  14
        30                  12
        30                  18
        26                  19
        25                  12
        30                  16
        30                  14
        30                  12
        30                  14
        25                  20
        30                  14
        30                  18
        30                  16
        30                  14
        26                  15
        30                  14
        30                  10
        30                  14
        31                  11
        30                  18
        26                  13
        30                  18
        30                  16
        31                  15
        31                  19
        25                  20
        30                  14
        31                  17
        30                  12
        30                  20
        26                  17
        31                  17
        31                  19
        31                  11
        31                  15
        30                  12
        30                  16
        30                  20
        30                  16
        25                  18
        31                   9
        26                  17
        30                  12
        30                  14
        30                  14
        31                  19
        30                  14
        25                  16
