Complexity          Amount of 1's
        41                  20
        42                  25
        37                  22
        40                  16
        42                  29
        42                  15
        36                  22
        41                  16
        40                  20
        40                  16
        37                  22
        42                  17
        41                  18
        41                  26
        40                  24
        42                  23
        42                  17
        35                  16
        42                  25
        42                  27
        42                  19
        42                  27
        41                  18
        41                  18
        40                  22
        41                  20
        39                  23
        39                  29
        40                  22
        39                  18
        41                  22
        41                  18
        42                  17
        40                  22
        35                  19
        38                  22
        39                  17
        42                  25
        40                  26
        36                  25
        37                  20
        39                  15
        41                  26
        39                  19
        40                  22
        40                  20
        37                  22
        37                  20
        42                  19
        38                  16
        40                  27
        39                  23
        40                  19
        41                  20
        40                  17
        37                  26
        40                  21
        36                  18
        39                  21
        38                  24
        40                  20
        39                  24
        39                  27
        42                  19
        42                  23
        39                  21
        39                  21
        42                  21
        42                  19
        40                  20
        34                  26
        40                  22
        39                  17
        35                  16
        42                  21
        41                  24
        42                  19
        40                  21
        40                  27
        42                  21
        41                  22
        32                  15
        40                  20
        36                  21
        40                  20
        41                  20
        40                  20
        41                  22
        41                  18
        42                  17
        41                  26
        35                  22
        36                  23
        40                  19
        42                  23
        42                  21
        38                  20
        40                  19
        42                  29
        41                  18
