Complexity          Amount of 1's
        25                  13
        25                  15
        25                  17
        24                  14
        25                   7
        25                  17
        25                  13
        24                  14
        24                  16
        25                  11
        25                   7
        25                   9
        24                  10
        25                  11
        25                  13
        21                  11
        25                  11
        24                  12
        24                  14
        24                  10
        25                   9
        21                  13
        24                  14
        25                   9
        25                  11
        25                  15
        24                  14
        25                   9
        25                  11
        24                  14
        25                  13
        24                   8
        24                  12
        24                  12
        20                  12
        21                  17
        25                   9
        24                  10
        25                   5
        25                  13
        24                  12
        24                  10
        25                  13
        24                  12
        25                  17
        24                   8
        24                  14
        24                  14
        20                  10
        25                  11
        20                  14
        25                  13
        24                  10
        25                  19
        25                  13
        25                  15
        24                  10
        20                  14
        25                  13
        25                  13
        25                  17
        24                  14
        25                  15
        25                  13
        24                  12
        24                  12
        24                  12
        25                  15
        25                  11
        25                   9
        24                  10
        25                  11
        25                   9
        25                   7
        24                  10
        24                  10
        25                  11
        24                  12
        24                   8
        24                   8
        24                  14
        25                  13
        25                  15
        25                  13
        24                  10
        25                   9
        20                  14
        25                  11
        25                  13
        25                  13
        25                  11
        24                  18
        25                  11
        25                  13
        25                  13
        25                  13
        24                  14
        25                   9
        25                  15
        24                  10
