Complexity          Amount of 1's
        14                  10
        15                   7
        14                   4
         9                   9
        11                   7
        14                   8
        14                   8
        14                   4
        13                   7
        15                   9
        15                  11
        14                   8
        14                  10
        15                   9
        14                   6
        12                   4
        14                  10
        15                   7
        14                   6
        15                   9
        15                   5
        14                   8
        14                  10
        15                   7
         9                   7
        15                   5
         9                   7
        10                   6
        14                   8
        15                   9
        13                   7
        12                  10
        14                   8
        15                   7
        12                   8
        14                   8
        14                   8
        15                   7
        11                   9
        14                   6
        12                   6
        14                   6
        12                   8
        14                   4
        15                   7
        14                   8
        10                   8
        13                   9
        14                   6
        15                   7
        15                   9
        11                   9
        12                   8
        15                   9
        12                   8
        14                   6
        12                   6
        12                  10
        15                   5
        12                   6
        15                   3
        14                   8
        14                  10
        15                   7
        12                   6
        13                  11
        14                  10
        15                   9
        15                   7
        15                   5
        15                   5
        10                  10
        15                   5
        14                   6
        12                  12
        14                   6
        12                  10
        14                   6
        14                  10
        14                   6
        12                   6
        13                  11
        15                   9
        15                   7
        15                   7
        14                  12
        10                  10
        13                   7
        14                   8
        14                  10
        12                   8
        14                   8
        13                   7
        15                  11
        12                   8
        15                   9
        13                   5
        13                   9
        12                  10
        15                   5
