Complexity          Amount of 1's
        27                  15
        26                  18
        26                  16
        27                   9
        25                  17
        26                  12
        27                  13
        24                  18
        27                  13
        24                  20
        27                  15
        24                   8
        24                   8
        24                  12
        27                  13
        27                   9
        26                  12
        26                  14
        27                  11
        25                  11
        27                  17
        27                  17
        25                  15
        25                  13
        25                  11
        26                  12
        27                  15
        26                  12
        26                  14
        27                  11
        27                  11
        26                   8
        27                  11
        25                   9
        27                  15
        26                  10
        27                  17
        26                  12
        25                  19
        26                  14
        27                  11
        26                  12
        26                  10
        27                  11
        27                  11
        27                  15
        26                  16
        27                  11
        26                  14
        27                  17
        25                  11
        26                  18
        27                  13
        24                  12
        26                  12
        26                  14
        26                  14
        27                  19
        27                  11
        27                  15
        24                  14
        26                  14
        24                  18
        26                  12
        27                  15
        26                  10
        27                  13
        26                  14
        18                  12
        27                   9
        26                   8
        24                  10
        24                  10
        27                  17
        27                  13
        26                  14
        27                  15
        27                  15
        25                   9
        27                  13
        24                  10
        27                  13
        26                  14
        27                  13
        26                  14
        25                  13
        26                  10
        27                  11
        26                   8
        27                  11
        24                  16
        24                  14
        27                  13
        26                   8
        26                  10
        27                  15
        27                  15
        27                   9
        20                  10
        27                  13
