Complexity          Amount of 1's
        24                  16
        26                  11
        24                   8
        26                  11
        24                  14
        24                  10
        24                  14
        26                  11
        26                  11
        24                  14
        26                  15
        26                  17
        25                  16
        26                  11
        26                  13
        26                  13
        24                   8
        26                  11
        26                   9
        24                  14
        26                  13
        26                  11
        25                  18
        26                  13
        26                  13
        25                  14
        24                  12
        26                  17
        24                  14
        25                  14
        26                  13
        24                  12
        25                  16
        25                  12
        26                  17
        26                  11
        25                  10
        25                  14
        26                  11
        26                  19
        24                  16
        25                  18
        24                  16
        26                  13
        26                  19
        24                  14
        25                  14
        26                  13
        25                  16
        25                  10
        24                  14
        25                  14
        24                  12
        26                  15
        25                  12
        26                  13
        26                  11
        24                  14
        24                  16
        25                  12
        26                  15
        26                  15
        25                  12
        26                  11
        26                  15
        26                   9
        26                  21
        26                  15
        25                  12
        24                  14
        26                  15
        26                  15
        26                  13
        26                  15
        25                  14
        26                  11
        26                  11
        26                  13
        26                  13
        24                  14
        26                  11
        24                  18
        24                  14
        24                  18
        24                  16
        26                  13
        26                  15
        25                   8
        25                  16
        24                  12
        26                  13
        26                  13
        26                  15
        25                  16
        24                  14
        26                  11
        24                  14
        26                  13
        25                  12
        25                  16
