Complexity          Amount of 1's
        24                  11
        20                  14
        24                   7
        22                  16
        24                   9
        23                  10
        24                  13
        24                  11
        23                  12
        24                  13
        20                  12
        24                  13
        23                  10
        22                  11
        24                   7
        23                   8
        23                  18
        24                   9
        22                  15
        24                  11
        22                  16
        22                  11
        22                   9
        20                  14
        16                  13
        23                  14
        24                  13
        23                  10
        22                  12
        24                  13
        18                  12
        24                   9
        23                  12
        24                   9
        24                  15
        24                  11
        22                   9
        23                  12
        23                  16
        22                  11
        23                  10
        24                  17
        19                  10
        24                   9
        23                  14
        22                   9
        24                  11
        23                  12
        24                   9
        20                  14
        24                   9
        24                  13
        24                   9
        23                   6
        24                  17
        22                  11
        22                  12
        21                  12
        24                  17
        23                  12
        23                  12
        23                  12
        24                  15
        20                  12
        24                  11
        23                  10
        22                  11
        24                  13
        22                  13
        24                  13
        24                  15
        23                  12
        24                  15
        24                  15
        24                  11
        21                  14
        24                  11
        22                   9
        15                  10
        24                  17
        24                   9
        23                  12
        24                  13
        24                  17
        23                  12
        20                   9
        23                   8
        22                  13
        24                  15
        21                   6
        23                  12
        23                  10
        21                  16
        24                  11
        22                  16
        22                  15
        22                  11
        22                   7
        24                   9
        23                  10
