Complexity          Amount of 1's
        34                  20
        30                  20
        35                  25
        34                  18
        34                  16
        35                  11
        31                  16
        30                  14
        31                  16
        31                  14
        35                  17
        35                  17
        31                  13
        34                  18
        34                  22
        31                  20
        31                  18
        32                  13
        34                  16
        34                  24
        34                  18
        34                  16
        31                  16
        35                  17
        31                  18
        32                  19
        34                  16
        35                  19
        35                  23
        35                  11
        34                  18
        35                  17
        34                  16
        35                  21
        35                  15
        29                  15
        35                  23
        35                  15
        31                  18
        35                  19
        34                  14
        35                  19
        34                  18
        35                  19
        31                  17
        34                  16
        30                  18
        34                  18
        35                  21
        35                  23
        34                  18
        35                  17
        35                  21
        31                  19
        34                  14
        35                  15
        32                  17
        35                  17
        35                  17
        31                  14
        35                  19
        31                  18
        34                  22
        31                  16
        35                  15
        35                  13
        31                  20
        34                  18
        35                  15
        34                  14
        34                  16
        34                  22
        34                  16
        32                  19
        35                  21
        34                  20
        35                  21
        32                  19
        31                  19
        34                  18
        35                  17
        32                  21
        32                  15
        34                  24
        34                  16
        35                  19
        34                  16
        31                  19
        34                  14
        35                  19
        35                  15
        34                  18
        35                  17
        34                  18
        35                  17
        30                  22
        34                  16
        35                  17
        35                  21
        32                  19
