Complexity          Amount of 1's
        44                  22
        46                  25
        46                  19
        46                  13
        45                  26
        44                  18
        46                  25
        46                  25
        46                  31
        45                  26
        45                  22
        44                  20
        44                  20
        45                  26
        46                  19
        46                  23
        46                  23
        45                  22
        46                  27
        46                  21
        45                  26
        45                  28
        44                  26
        44                  26
        44                  22
        46                  25
        44                  20
        46                  23
        46                  25
        46                  23
        45                  18
        45                  18
        46                  19
        45                  24
        46                  21
        46                  27
        46                  25
        45                  22
        45                  20
        45                  30
        46                  29
        46                  19
        45                  24
        44                  20
        46                  25
        46                  21
        44                  24
        45                  24
        46                  23
        45                  32
        44                  24
        44                  16
        44                  26
        46                  23
        45                  22
        44                  22
        44                  18
        46                  23
        46                  17
        44                  26
        46                  23
        44                  20
        46                  23
        45                  22
        44                  26
        45                  24
        44                  26
        46                  27
        46                  23
        44                  18
        46                  21
        46                  27
        44                  30
        46                  25
        45                  18
        46                  27
        46                  19
        46                  23
        44                  22
        45                  28
        44                  20
        46                  21
        46                  19
        45                  16
        46                  17
        46                  21
        45                  28
        44                  24
        44                  18
        45                  18
        44                  26
        46                  23
        46                  25
        46                  21
        46                  19
        46                  27
        46                  19
        45                  24
        46                  23
        44                  20
