Complexity          Amount of 1's
         6                   6
         7                   3
         3                   4
         7                   1
         4                   3
         6                   2
         3                   4
         0                   0
         6                   2
         7                   5
         6                   6
         6                   6
         7                   1
         6                   4
         4                   3
         7                   5
         6                   4
         7                   3
         6                   2
         7                   5
         3                   4
         7                   3
         7                   3
         4                   3
         7                   3
         4                   3
         6                   4
         6                   4
         7                   1
         6                   2
         7                   3
         7                   5
         4                   3
         0                   0
         7                   5
         6                   2
         7                   5
         6                   6
         6                   4
         6                   2
         7                   3
         6                   6
         3                   4
         7                   5
         6                   6
         3                   4
         7                   3
         7                   3
         7                   3
         3                   4
         6                   4
         1                   7
         6                   4
         6                   6
         7                   3
         4                   3
         7                   5
         6                   4
         7                   3
         3                   4
         7                   3
         6                   4
         6                   6
         6                   2
         7                   1
         6                   6
         3                   4
         7                   5
         6                   6
         4                   3
         4                   3
         7                   5
         7                   5
         7                   1
         6                   2
         4                   3
         3                   4
         6                   4
         4                   3
         6                   2
         7                   3
         6                   4
         7                   5
         6                   6
         6                   6
         7                   3
         3                   4
         3                   4
         4                   3
         6                   2
         7                   1
         7                   5
         6                   6
         6                   6
         6                   6
         4                   3
         7                   3
         3                   4
         4                   3
         7                   3
