Complexity          Amount of 1's
         8                   4
         7                   5
         8                   4
         8                   6
         9                   5
         8                   4
         8                   4
         7                   5
         9                   5
         7                   5
         9                   3
         6                   2
         9                   5
         7                   5
         6                   4
         7                   3
         9                   3
         8                   4
         9                   5
         7                   5
         8                   4
         8                   4
         9                   5
         8                   4
         9                   3
         9                   3
         9                   5
         9                   5
         8                   4
         6                   6
         8                   6
         8                   4
         9                   5
         9                   5
         9                   3
         8                   4
         8                   6
         8                   4
         7                   3
         9                   5
         8                   4
         8                   2
         8                   4
         9                   5
         9                   5
         6                   6
         8                   4
         7                   5
         8                   4
         8                   4
         9                   5
         8                   2
         9                   5
         8                   2
         9                   1
         2                   6
         8                   4
         9                   5
         9                   3
         0                   0
         6                   6
         1                   9
         8                   4
         8                   2
         8                   4
         8                   4
         9                   3
         8                   8
         7                   3
         6                   6
         9                   5
         9                   3
         6                   6
         9                   5
         9                   1
         9                   7
         9                   5
         9                   3
         9                   3
         8                   4
         3                   3
         6                   6
         8                   4
         9                   3
         8                   6
         8                   2
         9                   5
         7                   7
         9                   7
         9                   5
         8                   4
         8                   6
         8                   2
         9                   3
         8                   6
         9                   3
         6                   4
         9                   5
         7                   7
         7                   3
