Complexity          Amount of 1's
        21                   9
        18                  11
        18                  10
        15                   9
        20                  10
        19                  11
        20                   8
        21                  11
        21                   9
        20                  12
        18                  10
        21                  15
        21                  13
        20                  12
        21                   9
        21                   7
        20                   6
        18                   8
        21                  13
        21                   9
        20                   8
        21                  11
        19                   7
        17                  10
        20                  10
        20                   8
        21                   7
        18                   9
        21                   9
        21                  13
        21                   9
        20                  10
        20                  12
        20                   8
        21                  13
        21                   7
        21                  11
        18                  11
        15                  10
        21                  11
        20                  12
        20                  10
        18                   8
        11                  10
        20                  12
        21                   9
        20                  10
        20                   6
        17                  10
        19                   7
        18                  15
        20                  10
        19                   7
        21                  13
        20                  14
        20                  12
        17                  10
        21                   7
        20                  14
        20                  12
        20                  10
        20                   8
        19                   9
        19                  13
        20                  14
        19                   9
        18                   7
        18                  11
        17                  14
        21                   9
        16                  11
        21                  11
        19                   9
        18                  14
        20                  10
        17                  12
        19                   7
        20                  10
        18                   8
        15                  10
        18                  13
        21                   9
        20                  10
        21                  13
        18                  10
        19                   7
        21                  15
        18                  12
        18                  14
        15                   8
        21                  11
        21                   9
        18                  11
        20                  14
        21                   9
        21                   9
        20                  12
        21                   9
        15                   9
        21                  11
