Complexity          Amount of 1's
        13                   5
        12                   6
        12                   8
        13                   9
        13                   7
        12                   4
        12                   6
        12                   8
        12                  10
        12                   6
        12                   6
        12                   8
        12                   8
        12                   6
        13                   9
        12                   2
        13                   5
        12                  10
        12                   8
        12                   6
        12                   8
        12                   4
        13                   3
        13                   7
        13                   5
        13                   9
        12                  10
        13                   7
        13                   7
        13                   5
        12                   8
        12                   6
        12                   8
        12                   6
        13                   7
        12                   6
        12                   8
        13                   7
        12                   6
        12                   8
        12                   6
        12                   8
        12                   8
        12                   8
        13                   5
        12                   6
        12                   6
        13                   5
        13                   9
        13                   9
        13                   7
        12                   6
        12                   8
        13                   5
        12                   6
        12                   4
        13                   9
        12                   8
        12                   6
        13                   7
        13                   5
        13                   5
        12                   4
        13                  11
        12                   4
        12                   6
        13                   7
        13                   5
        13                   5
        12                   4
        13                   5
        12                   8
        13                   7
        12                   6
        13                   7
        13                   7
        13                   5
        12                  10
        13                   3
        13                   7
        13                   5
        13                   5
        12                   6
        13                   5
        13                   7
        13                   7
        12                   6
        12                   8
        13                   3
        13                   5
        12                   4
        13                   5
        12                   4
        12                   4
        13                   9
        13                   7
        12                   6
        13                   7
        13                   5
        12                   6
