Complexity          Amount of 1's
        50                  21
        48                  24
        49                  28
        50                  29
        48                  18
        44                  32
        49                  28
        50                  23
        48                  22
        48                  34
        48                  24
        49                  26
        50                  29
        50                  35
        50                  27
        48                  22
        49                  22
        50                  23
        49                  34
        49                  22
        48                  26
        50                  25
        50                  33
        46                  25
        50                  27
        46                  31
        50                  29
        49                  26
        44                  28
        50                  23
        50                  19
        50                  23
        50                  21
        50                  29
        50                  23
        50                  29
        48                  24
        49                  14
        50                  25
        49                  20
        50                  25
        50                  29
        49                  20
        49                  22
        50                  25
        49                  26
        50                  19
        48                  26
        50                  25
        50                  27
        50                  27
        49                  30
        48                  24
        50                  23
        49                  28
        50                  25
        50                  23
        49                  24
        48                  24
        50                  27
        48                  28
        50                  21
        45                  26
        48                  28
        50                  25
        48                  26
        50                  29
        46                  23
        50                  27
        50                  23
        49                  30
        50                  29
        49                  22
        48                  20
        49                  22
        50                  23
        50                  23
        50                  25
        50                  27
        50                  31
        49                  30
        48                  24
        48                  24
        50                  25
        50                  29
        49                  24
        49                  20
        50                  29
        50                  23
        50                  25
        48                  28
        50                  27
        48                  24
        48                  26
        49                  26
        50                  27
        50                  23
        46                  23
        50                  27
        50                  27
