Complexity          Amount of 1's
        44                  23
        42                  18
        41                  20
        44                  23
        44                  19
        43                  30
        44                  21
        44                  25
        43                  24
        42                  24
        43                  24
        43                  24
        44                  25
        43                  24
        44                  19
        44                  19
        44                  27
        43                  26
        43                  28
        43                  18
        41                  24
        44                  23
        44                  27
        44                  21
        44                  27
        44                  19
        44                  19
        41                  24
        44                  21
        44                  23
        44                  25
        44                  17
        44                  21
        44                  23
        43                  20
        44                  29
        41                  22
        42                  22
        44                  21
        43                  24
        43                  22
        43                  22
        44                  25
        42                  20
        44                  25
        44                  19
        41                  22
        44                  23
        44                  21
        44                  23
        43                  20
        44                  27
        43                  22
        44                  17
        40                  28
        43                  24
        44                  19
        44                  23
        43                  22
        42                  18
        44                  17
        43                  26
        44                  25
        44                  19
        44                  19
        44                  23
        43                  18
        43                  22
        44                  23
        44                  23
        40                  20
        44                  23
        44                  19
        44                  25
        44                  17
        44                  25
        43                  22
        44                  25
        44                  23
        44                  21
        44                  23
        43                  18
        40                  24
        44                  21
        44                  27
        43                  18
        40                  20
        43                  22
        40                  24
        44                  27
        42                  22
        42                  24
        44                  25
        42                  22
        40                  18
        44                  27
        42                  22
        43                  18
        44                  17
        44                  21
