Complexity          Amount of 1's
        45                  17
        43                  19
        45                  15
        43                  25
        39                  27
        44                  26
        44                  26
        45                  23
        43                  23
        45                  21
        39                  27
        45                  17
        43                  17
        42                  26
        45                  17
        43                  23
        45                  23
        44                  20
        42                  26
        40                  22
        34                  18
        45                  17
        45                  19
        38                  18
        44                  28
        44                  24
        44                  24
        39                  21
        44                  20
        44                  26
        45                  19
        45                  21
        40                  26
        41                  25
        44                  24
        45                  19
        45                  23
        45                  29
        36                  24
        45                  25
        42                  30
        44                  28
        41                  21
        44                  22
        42                  26
        40                  26
        45                  25
        44                  26
        45                  27
        45                  23
        41                  23
        45                  17
        42                  28
        45                  17
        44                  16
        45                  23
        45                  25
        45                  25
        42                  20
        44                  24
        44                  24
        40                  20
        44                  26
        44                  22
        41                  15
        36                  22
        45                  23
        38                  22
        44                  22
        44                  18
        45                  25
        44                  22
        44                  24
        45                  17
        42                  24
        44                  24
        45                  21
        45                  21
        44                  22
        45                  25
        44                  26
        45                  23
        44                  26
        42                  22
        44                  26
        45                  23
        44                  26
        45                  13
        44                  22
        44                  22
        45                  23
        44                  28
        42                  22
        45                  17
        44                  22
        44                  28
        45                  19
        44                  24
        45                  21
        44                  24
