Complexity          Amount of 1's
        39                  24
        37                  20
        37                  22
        38                  26
        40                  17
        38                  24
        37                  20
        40                  21
        39                  22
        40                  21
        40                  15
        39                  10
        40                  25
        39                  22
        40                  19
        40                  23
        39                  20
        39                  20
        40                  21
        39                  24
        39                  24
        38                  22
        31                  22
        40                  21
        40                  21
        40                  25
        40                  17
        40                  23
        40                  25
        40                  19
        38                  22
        35                  24
        38                  12
        40                  25
        39                  20
        40                  17
        39                  16
        36                  26
        40                  21
        38                  18
        38                  20
        40                  19
        40                  23
        40                  25
        36                  22
        40                  19
        40                  19
        40                  21
        39                  20
        39                  18
        37                  18
        39                  24
        40                  19
        38                  24
        38                  20
        39                  20
        40                  21
        40                  23
        39                  20
        39                  22
        40                  17
        34                  16
        37                  18
        40                  21
        39                  24
        38                  22
        40                  23
        39                  26
        40                  19
        38                  24
        37                  12
        36                  18
        40                  23
        40                  23
        40                  13
        40                  27
        33                  22
        40                  21
        40                  19
        40                  21
        37                  24
        40                  15
        38                  20
        36                  21
        38                  18
        38                  18
        36                  17
        40                  15
        38                  20
        39                  14
        39                  16
        40                  25
        40                  23
        36                  19
        40                  21
        36                  21
        32                  20
        39                  16
        40                  25
        40                  17
