Complexity          Amount of 1's
        43                  21
        42                  26
        43                  23
        42                  22
        42                  24
        42                  24
        42                  24
        42                  20
        42                  20
        43                  23
        42                  24
        43                  19
        43                  15
        43                  27
        42                  26
        43                  27
        43                  17
        42                  26
        42                  22
        42                  24
        43                  17
        42                  24
        42                  22
        42                  24
        42                  18
        43                  15
        43                  21
        43                  21
        42                  22
        43                  17
        43                  23
        42                  20
        43                  19
        43                  21
        42                  28
        42                  20
        43                  25
        43                  21
        43                  17
        43                  25
        42                  22
        42                  26
        42                  22
        42                  26
        43                  23
        42                  22
        43                  27
        42                  22
        42                  18
        43                  23
        42                  22
        43                  15
        43                  21
        43                  25
        43                  21
        42                  18
        43                  21
        42                  14
        43                  25
        43                  19
        43                  15
        42                  20
        42                  20
        42                  26
        43                  21
        42                  16
        43                  19
        42                  20
        43                  19
        43                  19
        42                  22
        42                  24
        43                  23
        43                  19
        43                  17
        42                  22
        42                  20
        43                  21
        43                  25
        42                  28
        42                  22
        43                  25
        43                  31
        43                  25
        43                  21
        42                  26
        43                  13
        42                  22
        42                  20
        42                  16
        43                  23
        43                  23
        42                  24
        43                  23
        42                  24
        43                  21
        43                  19
        42                  22
        43                  19
        42                  22
