Complexity          Amount of 1's
        32                  15
        31                  14
        32                  13
        31                  16
        32                  17
        30                  16
        32                  15
        31                  18
        32                  13
        31                  14
        31                  14
        32                  11
        32                  15
        31                  14
        31                  18
        32                  15
        32                  15
        31                  18
        32                  13
        32                  13
        32                  19
        32                  17
        32                  19
        31                  22
        32                  21
        32                  15
        32                  11
        31                  16
        32                  21
        32                  19
        32                  17
        32                  19
        30                  14
        32                  13
        30                  16
        31                  14
        32                  17
        32                  21
        30                  12
        32                  15
        30                  16
        32                  17
        32                  15
        30                  10
        32                  11
        32                  11
        32                  13
        29                  16
        32                  17
        32                  13
        32                  21
        32                  17
        32                  21
        32                  15
        32                  15
        32                  11
        31                  14
        32                  15
        30                  20
        32                  15
        32                  11
        30                  18
        27                  16
        32                  11
        32                  17
        27                  16
        32                  13
        31                  16
        32                  17
        32                  19
        32                  17
        30                  18
        32                  13
        29                  16
        31                  16
        29                  14
        32                  17
        32                  15
        31                  18
        28                  14
        31                  10
        30                  14
        31                  16
        30                  16
        31                  20
        29                  16
        31                  14
        32                  19
        31                  16
        30                  18
        32                  19
        32                  15
        31                  18
        30                  10
        31                  14
        30                  16
        32                  17
        29                   8
        31                  18
        28                  16
