Complexity          Amount of 1's
      3659                1820
      3659                1866
      3657                1826
      3660                1825
      3656                1881
      3659                1882
      3650                1893
      3656                1858
      3655                1872
      3654                1797
      3658                1823
      3656                1805
      3656                1857
      3656                1806
      3660                1807
      3657                1798
      3660                1821
      3660                1823
      3659                1844
      3660                1867
      3658                1809
      3659                1868
      3656                1795
      3659                1858
      3654                1822
      3659                1822
      3657                1816
      3652                1816
      3659                1748
      3657                1880
      3659                1800
      3654                1826
      3660                1789
      3660                1857
      3657                1846
      3657                1832
      3656                1804
      3658                1850
