Complexity          Amount of 1's
       504                 256
       504                 256
       506                 263
       506                 257
       505                 250
       506                 251
       505                 246
       506                 267
       506                 253
       505                 264
       506                 241
       505                 280
       504                 260
       505                 272
       506                 263
       506                 253
       504                 250
       505                 250
       506                 239
       506                 253
       505                 272
       504                 258
       504                 266
       505                 256
       506                 245
       506                 251
       505                 254
       506                 249
       506                 259
       506                 263
       506                 259
       506                 245
       505                 258
       506                 263
       506                 227
       505                 256
       504                 268
       506                 255
       505                 262
       505                 226
       504                 244
       506                 255
       505                 236
       506                 249
       505                 258
       506                 247
       506                 247
       506                 251
       504                 256
       505                 248
       506                 253
       504                 240
       506                 245
       504                 256
       506                 251
       506                 269
       505                 240
       505                 254
       504                 250
       506                 267
       506                 265
       506                 233
       504                 242
       506                 267
       504                 246
       504                 274
       505                 242
       505                 244
       504                 232
       506                 237
       506                 265
       506                 253
       506                 255
       506                 247
       504                 254
       504                 256
       504                 258
       506                 255
       505                 264
       504                 240
       506                 251
       506                 251
       505                 258
       506                 239
       506                 275
       505                 224
       504                 256
       504                 264
       506                 269
       506                 279
       506                 281
       504                 266
       504                 238
       506                 257
       504                 256
       506                 257
       506                 263
       505                 256
       506                 237
       505                 230
